,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,
AEB     ,0,0,0,0,0,0,21.7747,21.9562,21.9811,22.1101,22.2699,22.3847,22.3847,22.3847,22.3847,22.3847,
AED     ,0,0,0,0,0,25.78,25.78,25.83,25.83,25.83,25.8533,25.8977,25.8977,25.8977,25.8977,25.8977,
AEE     ,0,0,0,0,0,66.5961,66.6377,66.8823,66.9164,66.7542,66.9822,66.9102,66.9102,66.9102,66.9102,66.9102,
AEF     ,0,0,0,0,0,0,0,0,0,7.01384,7.0319,7.0319,7.0319,7.0319,7.0319,7.0319,
AEG     ,0,0,5.22,5.22,5.22,4.58274,4.78986,4.87698,4.87698,4.88987,4.50382,4.48998,4.48998,4.48998,4.48998,4.48998,
AEGN    ,0,0,0,0,0,17.9414,17.5395,17.5825,17.5829,17.3654,16.6574,16.3243,16.9184,16.9184,16.9184,16.9184,
AEH     ,0,0,0,0,0,0,25.62,25.6226,25.623,25.623,25.6225,25.6219,25.6219,25.6219,25.6219,25.6219,
AEHR    ,0,0,0,0,0,1.20583,1.18407,1.18411,1.1844,1.18434,1.18462,1.18641,1.18653,1.18653,1.18653,1.18653,
AEIS    ,0,0,0,0,0,49.6743,46.715,46.5058,47.0009,47.2352,47.4011,47.2338,47.6596,47.6596,47.6596,47.6596,
AEL     ,0,0,0,0,0,30.3386,30.2778,29.9841,30.0406,30.099,30.2425,30.2954,30.2954,30.2954,30.2954,30.2954,
AEM     ,0,0,0,0,0,41.1412,41.1873,41.4267,41.4791,41.4717,41.3838,41.2653,41.2653,41.2653,41.2653,41.2653,
AEMD    ,0,0,0,0,0,1.28276,1.28645,1.29697,1.29697,1.29697,1.29886,1.33693,1.33693,1.33693,1.33693,1.33693,
AEO     ,0,0,0,0,0,18.9632,19.6342,19.8555,19.9249,20.0199,20.1032,20.2393,20.2395,20.2395,20.2395,20.2395,
AEP     ,0,0,0,0,0,74.3638,73.3042,73.5805,73.8215,73.595,73.9488,72.905,72.905,72.905,72.9061,72.9061,
AER     ,0,0,0,0,0,42.5234,42.819,43.6408,43.6939,43.5826,42.9344,44.2378,44.2378,44.2378,44.2378,44.2378,
AERI    ,0,0,0,0,0,43.3802,44.3738,45.0789,45.0542,45.2706,45.5779,44.7489,44.9707,44.9707,44.9707,44.9707,
AES     ,0,0,0,0,0,13.8907,14.2526,14.3271,14.3886,14.5263,14.7638,14.8971,14.8971,14.8971,14.8971,14.8971,
AETI    ,0,0,0,0,0,0.912943,0.912943,0.910845,0.909341,0.908304,0.909487,0.909487,0.909487,0.909487,0.909487,0.909487,
AEY     ,0,0,0,0,0,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,
AEYE    ,0,0,0,0,0,11.0996,10.1804,10.1804,10.2163,10.3161,10.333,10.5322,10.5447,10.5447,10.5447,10.5447,
AEZS    ,0,0,0,0,0,3.95119,3.93342,3.93764,3.93876,3.94167,3.94538,3.93386,3.934,3.934,3.934,3.934,
AFB     ,0,0,0,0,0,0,0,12.55,12.53,12.53,12.53,12.53,12.53,12.53,12.53,12.53,
